observation_type,stratum,target,stagnation_threshold,eligible,positives,probability,tp,fp,tn,fn,precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
iteration,period=early_legs_1_2,3,80,7000,860,0.12285714285714286,31,150,5990,829,0.1712707182320442,0.03604651162790698,0.9755700325732899,0.024429967426710098,0.963953488372093,0.5058082721005984
iteration,period=early_legs_1_2,3,120,7000,860,0.12285714285714286,0,0,6140,860,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,3,180,7000,860,0.12285714285714286,0,0,6140,860,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,3,240,7000,860,0.12285714285714286,0,0,6140,860,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,4,10,11215,1002,0.08934462773071779,780,3402,6811,222,0.18651362984218078,0.7784431137724551,0.6668951336531871,0.3331048663468129,0.2215568862275449,0.7226691237128211
iteration,period=early_legs_1_2,4,20,11215,1002,0.08934462773071779,597,2188,8025,405,0.21436265709156194,0.5958083832335329,0.785763242925683,0.21423675707431705,0.4041916167664671,0.690785813079608
iteration,period=early_legs_1_2,4,40,11215,1002,0.08934462773071779,321,1046,9167,681,0.23482077542062912,0.3203592814371258,0.8975815137569764,0.1024184862430236,0.6796407185628742,0.6089703975970511
iteration,period=early_legs_1_2,4,60,11215,1002,0.08934462773071779,167,465,9748,835,0.26424050632911394,0.16666666666666666,0.9544697934005679,0.0455302065994321,0.8333333333333334,0.5605682300336173
iteration,period=early_legs_1_2,4,80,11215,1002,0.08934462773071779,50,170,10043,952,0.22727272727272727,0.0499001996007984,0.9833545481249388,0.016645451875061196,0.9500998003992016,0.5166273738628686
iteration,period=early_legs_1_2,4,120,11215,1002,0.08934462773071779,0,0,10213,1002,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,4,180,11215,1002,0.08934462773071779,0,0,10213,1002,,0.0,1.0,0.0,1.0,0.5
iteration,period=early_legs_1_2,4,240,11215,1002,0.08934462773071779,0,0,10213,1002,,0.0,1.0,0.0,1.0,0.5
iteration,period=late_legs_3_plus,1,10,11640,9480,0.8144329896907216,9347,2036,124,133,0.8211367829219011,0.9859704641350211,0.05740740740740741,0.9425925925925925,0.014029535864978904,0.5216889357712142
